English,Malay
actor,n. seniman; pelaku dalani drama pentas atau filem. actress n. fem. seniwati.
actual,a. benar; wujud sebagai kenya- taan; semasa.
actuality,n. kenyataan.
actually,adv. sebenarnya.
actuary,"n. akluari: pakar insurans yang menghitung kadar risiko dan premium, actuarial a. yang berkaitan dengan kerja insurans."
actuate,v.t. mendorongkan; menjadi penggerak untuk seseorang bertindak. actuation n. dorongan.
acuity,n. tajam; ketajaman.
acumen,n. ketajaman (fikiran).
acupressure,"n. penekanan badan di tempat-tempat tertentu untuk melega- kan kesakilan, dsb. acupressurist a. pelaku di atas."
acupuncture,"n. akupunktur, pembatan tradisi menggunakan jarum. acupuncturist n. ahli akupunktur."
acute,a. mersik; nyaring; tajam; amat sangat (sakit); cerdas. acute accent tanda pada huruf untuk menandakan tekanan nada yang tinggi. acutely adv. dengan tajam. acuteness n. ketajaman.
A.D.,abbr. (Latin anno domini) Tahun Masihi.
ad,n. (colloq.) iklan.
adage,n. pepatah; bidalan.
adagio,n. muzik dalam tempo per- lahan.
Adams,apple halkum; hujung kerong- kong yang ketara tersembul di leher.
adamant,a. keras hati; tidak mahu beralah.
adapt,v.t.i. menyesuaikan; menjadikan sesuai untuk kegunaan atau keadaan baharu. adaptation n. penyesuaian; perbuatan atau proses menye-suaikan. adaptor n. orang atau alat pengubah suai.
adaptable,a. boleh diubah suai; dapat disesuaikan..adaptability n. keboleh- suaian.
add,v.t.i. tambah; campur; menam- bahkan; mencampurkan; masukkan sebagai tambahan; berkata lagi; men- jumlahkan.
addendum,n. (pl. -da) tambahan; perkara yang hendak ditambah kepada buku dan sebagainya; (pl.) apendiks.
adder,n. ular beludak; ular kecil yang bisa.
addict,n. penagih; seseorang yang ketagih. terutamanya kepada dadah.
addicted,a. ketagih; melakukan atau menggunakan sesuatu sebagai kebiasaan atau secara terpaksa; asyik (kepada hobi atau minat). addiction n. ketagihan.
addictive,a. menagihkan; menyebab- kan ketagihan.
addition,n. penambahan; campuran. in addition tambahan (pula); sebagai tambahan.
additional,a. tambahan; lebihan. additionally adv. secara tambahan.
additive,n. aditif; bahan yang ditambah.
addle,v.t. membingungkan; mengusut- kan; menjadi busuk atau tembelang (telur).
address,"n. alamat; butir-butir tentang tempat tinggal seseorang atau tempat letaknya sesebuah firma, atau ke mana surat-menyurat harus dikirim- kan; lokasi dalam ingatan komputer; ucapan. -v.t. mengalamatkan; mem- berikan ucapan; menyediakan diri untuk menghadapi sesuatu tugas; menghubungi melalui sesuatu alamat."
addressee,"n. si penerima, orang yang kepadanya surat. dll. dialamatkan."
adduce,v.t. mengemukakan sebagai contoh atau bukti.
adenoids,n.pl. tisu yang mengembang pada bahagian belakang kerongkong. adenoidal a. yang berkenaan tisu pada bahagian belakang kerongkong.
adept,"a. & n. cekap; pakar; sangat mahir (orang), adeptly adv. dengan cekapnya. adeptness n. kecekapan."
adequate,a. cukup; memadai. adequately adv. dengan secukup- cukupnya. adequacy n. kecukupan.
adhere,v.i. melekat; memberikan soko- ngan yang berterusan. adherence n. kesetiaan; kepatuhan. adherent a. & n. penyokong.
adhesion,n. lekatan; rekatan; keadaan melekat; penaupan tisu dalam badan.
adhesive,a. lekit; perekat; berperekal.
ad,hoc ad hoc; untuk suatu tujuan tertentu sahaja; sementara.
adieu,int. & n. selamat tinggal.
